Egg.ID,Facility,Fate,Year,Treatment,Logger.ID,Lay.date,Pair.ID,Paired.date,Unpaired.date,Last.alive.date,Hatch.fail.date
07-114-02-15,ICF,Failed,2015,SHC-GQF2,I-8+P-11,147,9,147,162,177,177
07-117-01-17,ICF,Hatched,2017,SHC-GQF2,P-11,115,9,115,146,146,146
07-117-03-15,ICF,Failed,2015,SHC-GQF2,I-8,131,9,131,159,159,162
07-117-04-15,ICF,Failed,2015,SHC-GQF2,I-8,134,9,134,162,163,164
07-117-05-15,ICF,Hatched,2015,SHC-WC,I-14,146,9,146,168,176,176
07-117-05-16,ICF,Hatched,2016,SHC-WC,I-19,130,9,130,159,160,160
13-116-06-17,ICF,Hatched,2017,WC-WC,I-10,128,13,128,155,156,156
13-144-04-17,ICF,Hatched,2017,WC-WC,I-8,120,12,121,147,147,147
13-35-05-16,ICF,Failed,2016,WC-WC,I-14,142,11,153,171,170,171
13-46-03-15,ICF,Hatched,2015,WC-WC,I-19,117,10,117,141,145,145
13-46-04-16,ICF,Hatched,2016,WC-WC,I-8,117,10,118,145,146,146
A1-2-16,CZ,Hatched,2016,WC-WC,CZ-2,104,4,105,133,134,134
B5#6,Patuxent,Failed,2017,WC-WC,P-2,119,25,119,144,129,144
B6#3,Patuxent,Hatched,2016,WC-SHC,P-4,118,25,119,140,146,146
B6#4,Patuxent,Failed,2016,WC-WC,T3,117,25,118,139,118,139
BL3-1-17,CZ,Hatched,2017,WC-WC,CZ-4,134,8,136,163,166,166
DO1-1-16,CZ,Failed,2016,SHC-B,CZ-4,94,6,94,110,108,110
DO1-2-16,CZ,Hatched,2016,SHC-B,CZ-4,96,6,103,126,126,126
IN3-1-17,CZ,Hatched,2017,WC-SHC,CZ-1,144,7,145,166,173,173
MD1-2-16,CZ,Failed,2016,SHC-B,CZ-4,106,1,108,122,115,122
MD2-1-14,CZ,Hatched,2014,SHC-B,CZ-2,163,1,167,188,196,196
MD2-1-16,CZ,Hatched,2016,SHC-SHC,CZ-2,145,1,148,175,176,176
MD2-2-14,CZ,Hatched,2014,SHC-B,CZ-2,166,1,167,188,199,199
MD2-2-16,CZ,Hatched,2016,SHC-B,CZ-1,148,1,148,177,177,177
N1-1-15,CZ,Failed,2015,WC-SHC,CZ-1,95,2,95,109,123,124
N2-1-16,CZ,Hatched,2016,WC-SHC,CZ-3,110,5,110,132,139,139
N2-3-14,CZ,Hatched,2014,WC-SHC,CZ-2,129,2,129,131,157,157
N4-1-15,CZ,Failed,2015,WC-WC,CZ-3,135,2,139,159,146,159
N4-2-15,CZ,Failed,2015,WC-SHC,CZ-4,138,2,139,160,167,168
PS2-1-16,CZ,Failed,2016,SHC-B,CZ-5,136,3,137,150,143,150
PS2-2-16,CZ,Failed,2016,SHC-SHC,CZ-3,139,3,140,159,147,159
PS2-2-19,CZ,Hatched,2019,SHC-SHC,CZ-3,131,3,141,159,159,159
PS3-2-15,CZ,Failed,2015,SHC-SHC,CZ-3,173,3,182,196,182,196
R23#1,Patuxent,Hatched,2014,SHC-P,P-3,109,14,129,139,141,141
R23#2,Patuxent,Hatched,2014,SHC-GQF1,P-9,112,14,129,140,141,141
R23#4/3,Patuxent,Hatched,2014,SHC-SHC,P-7,134,14,141,162,163,163
R30#1,Patuxent,Failed,2015,SHC-GQF2,P-10,96,20,100,118,100,118
R30#2,Patuxent,Hatched,2015,SHC-SHC,P-6,98,20,100,125,128,128
R33#2.3,Patuxent,Hatched,2014,SHC-GQF1,P-9,106,15,129,137,138,138
R34#1,Patuxent,Hatched,2017,SHC-GQF1,P-1,102,15,108,132,134,134
R34#2,Patuxent,Failed,2017,SHC-GQF2,P-3,104,15,108,135,135,135
R34#3,Patuxent,Hatched,2015,SHC-SHC,P-3,128,15,136,155,159,159
R34#4,Patuxent,Hatched,2015,SHC-WC,P-2,130,15,136,157,162,162
R6#5,Patuxent,Hatched,2015,SHC-GQF1,P-9,99,21,132,156,156,156
R6#6,Patuxent,Hatched,2015,SHC-P,P-8,129,21,132,156,158,158
S1#2,Patuxent,Hatched,2014,SHC-P,P-10,122,17,147,150,151,151
S17#1,Patuxent,Hatched,2015,SHC-P,P-8,116,16,120,145,146,146
S17#1.2,Patuxent,Failed,2017,SHC-GQF2,P-3,116,16,122,143,143,144
S17#2,Patuxent,Failed,2015,SHC-GQF2,P-10,119,16,120,150,150,150
S17#2.2,Patuxent,Failed,2017,SHC-GQF1,P-1,119,16,122,152,122,152
S17#3,Patuxent,Hatched,2015,SHC-SHC,P-5,149,16,154,176,179,179
S17#4,Patuxent,Hatched,2015,SHC-GQF1,P-9,150,16,154,176,176,176
S18#2,Patuxent,Failed,2014,SHC-GQF1,P-9,120,16,129,150,150,151
S18#3,Patuxent,Hatched,2016,SHC-SHC,P-2,162,16,166,187,191,191
S18#4,Patuxent,Hatched,2014,SHC-P,P-10,143,16,145,171,172,172
S18#4.2,Patuxent,Hatched,2016,SHC-GQF1,P-1,165,16,166,187,188,188
S2#2,Patuxent,Hatched,2015,SHC-GQF1,P-9,111,17,112,139,140,140
S2#5,Patuxent,Hatched,2015,SHC-SHC,P-3,172,17,174,192,199,199
S2#6,Patuxent,Hatched,2015,SHC-GQF2,P-10,169,17,174,195,197,197
S32#1,Patuxent,Hatched,2017,WC-SHC,P-7,109,27,109,137,138,138
S32#2,Patuxent,Hatched,2017,WC-SHC,P-5,111,27,111,137,140,140
T7#2,Patuxent,Hatched,2015,WC-SHC,P-1,134,18,135,160,163,163
Y16#1,Patuxent,Hatched,2017,SHC-SHC,P-4,118,26,122,144,151,151
Y16#1g,Patuxent,Hatched,2017,SHC-SHC,P-6,122,28,122,148,151,151
Y16#2,Patuxent,Failed,2017,SHC-GQF2,P-3,120,26,122,152,122,152
Y17#1b,Patuxent,Hatched,2016,SHC-GQF2,P-3,110,24,112,139,141,141
Y17#1g,Patuxent,Hatched,2016,SHC-SHC,P-6,110,24,112,138,142,142
Y17#2b,Patuxent,Hatched,2016,SHC-SHC,P-7,113,24,114,140,143,143
Y27#1,Patuxent,Failed,2016,SHC-P,P-9,94,23,96,121,96,121
Y27#2,Patuxent,Hatched,2016,SHC-GQF1,P-1,96,23,96,125,126,126
Y34#3,Patuxent,Hatched,2015,SHC-SHC,P-4,125,19,129,152,156,156
Y34#4,Patuxent,Hatched,2015,SHC-GQF1,P-9,127,19,129,155,157,157
Y42#4,Patuxent,Hatched,2015,SHC-SHC,P-5,120,19,123,147,150,150
Y42#5,Patuxent,Hatched,2015,SHC-GQF1,P-9,123,22,123,151,152,152
